word,pos,frequency
obesity,NOUN,1211
study,NOUN,1116
association,NOUN,666
risk,NOUN,601
analysis,NOUN,550
patient,NOUN,532
disease,NOUN,525
metabolic,NOUN,515
index,NOUN,482
adult,NOUN,430
review,NOUN,393
cohort,NOUN,365
factor,NOUN,365
health,NOUN,355
body,NOUN,343
weight,NOUN,336
effect,NOUN,326
cross,ADJ,313
sectional,ADJ,313
diabetes,NOUN,307
associate,VERB,305
base,VERB,302
syndrome,NOUN,284
cancer,NOUN,265
obese,ADJ,240
child,NOUN,233
woman,NOUN,227
population,NOUN,225
high,ADJ,224
impact,NOUN,224
type,NOUN,223
diet,NOUN,223
mass,NOUN,211
liver,NOUN,206
cardiovascular,ADJ,199
role,NOUN,193
trial,NOUN,191
outcome,NOUN,189
systematic,ADJ,185
relate,VERB,175
clinical,ADJ,162
induce,VERB,162
surgery,NOUN,162
prevalence,NOUN,147
treatment,NOUN,147
nhanes,NOUN,146
dysfunction,NOUN,146
insight,NOUN,144
old,ADJ,142
activity,NOUN,139
fat,NOUN,138
mortality,NOUN,138
randomize,VERB,135
management,NOUN,131
control,VERB,130
adolescent,NOUN,129
prospective,ADJ,129
non,ADJ,129
mouse,NOUN,128
cell,NOUN,127
intervention,NOUN,127
glucose,NOUN,127
food,NOUN,125
overweight,NOUN,121
retrospective,ADJ,121
physical,ADJ,120
relationship,NOUN,119
year,NOUN,118
case,NOUN,117
acid,NOUN,116
gut,NOUN,113
tissue,NOUN,111
dietary,ADJ,111
disorder,NOUN,110
insulin,NOUN,108
sleep,NOUN,107
meta,ADJ,107
hypertension,NOUN,107
metabolism,NOUN,106
receptor,NOUN,105
loss,NOUN,105
evidence,NOUN,103
cardiometabolic,NOUN,102
overweight,ADJ,101
individual,NOUN,99
status,NOUN,98
model,NOUN,98
inflammation,NOUN,98
level,NOUN,97
early,ADJ,97
age,NOUN,96
adipose,ADJ,96
explore,VERB,94
fatty,NOUN,94
fat,ADJ,93
kidney,NOUN,92
low,ADJ,91
datum,NOUN,91
pregnancy,NOUN,90
therapy,NOUN,88
mellitus,NOUN,88
adiposity,NOUN,88
increase,VERB,87
chronic,ADJ,87
function,NOUN,87
improve,VERB,86
change,NOUN,85
follow,VERB,85
heart,NOUN,85
lifestyle,NOUN,84
burden,NOUN,84
china,NOUN,82
exercise,NOUN,81
childhood,NOUN,81
mechanism,NOUN,81
bmi,NOUN,81
resistance,NOUN,81
sex,NOUN,81
bariatric,ADJ,80
survey,NOUN,80
microbiota,NOUN,80
nutrition,NOUN,79
term,NOUN,78
control,NOUN,78
composition,NOUN,78
chinese,ADJ,77
lipid,NOUN,77
life,NOUN,77
inflammatory,ADJ,77
nationwide,ADJ,77
mediate,VERB,76
breast,NOUN,75
long,ADJ,74
development,NOUN,74
muscle,NOUN,73
care,NOUN,72
pathway,NOUN,71
protein,NOUN,71
abdominal,ADJ,70
specific,ADJ,70
aged,ADJ,70
behavior,NOUN,70
quality,NOUN,70
serum,NOUN,69
response,NOUN,69
meta,NOUN,69
eat,VERB,69
trend,NOUN,67
genetic,ADJ,67
longitudinal,ADJ,67
cause,NOUN,67
assessment,NOUN,67
depression,NOUN,67
novel,ADJ,66
failure,NOUN,66
bone,NOUN,66
approach,NOUN,65
pattern,NOUN,65
predictor,NOUN,65
gene,NOUN,64
biomarker,NOUN,63
incidence,NOUN,63
waist,NOUN,63
maternal,ADJ,62
score,NOUN,62
profile,NOUN,61
